,Territory,Data type,Gender,Highest level of education attained,Citizenship,TIME,Value
385,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2018,87.593056
390,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2019,87.470839
395,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2020,85.611972
400,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2021,87.069018
401,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2022,88.014747
410,Nord-est,activity rate,total,total,italian,2018,72.478697
415,Nord-est,activity rate,total,total,italian,2019,72.943305
420,Nord-est,activity rate,total,total,italian,2020,71.212036
425,Nord-est,activity rate,total,total,italian,2021,71.190368
426,Nord-est,activity rate,total,total,italian,2022,72.501296
505,Centro (I),activity rate,total,upper and post secondary,italian,2018,73.230508
510,Centro (I),activity rate,total,upper and post secondary,italian,2019,72.842381
515,Centro (I),activity rate,total,upper and post secondary,italian,2020,71.628925
520,Centro (I),activity rate,total,upper and post secondary,italian,2021,72.202945
521,Centro (I),activity rate,total,upper and post secondary,italian,2022,73.781023
530,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2018,85.863441
535,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2019,86.024698
540,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2020,84.571857
545,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2021,86.128633
546,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2022,86.04349
555,Centro (I),activity rate,total,total,italian,2018,69.428488
560,Centro (I),activity rate,total,total,italian,2019,69.26998
565,Centro (I),activity rate,total,total,italian,2020,67.681591
570,Centro (I),activity rate,total,total,italian,2021,68.493887
571,Centro (I),activity rate,total,total,italian,2022,69.636543
650,Nord,activity rate,total,upper and post secondary,foreign,2018,78.500988
655,Nord,activity rate,total,upper and post secondary,foreign,2019,78.514169
660,Nord,activity rate,total,upper and post secondary,foreign,2020,74.984181
665,Nord,activity rate,total,upper and post secondary,foreign,2021,76.392346
666,Nord,activity rate,total,upper and post secondary,foreign,2022,77.103391
675,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2018,77.30214
680,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2019,77.271069
685,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2020,71.689269
690,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2021,75.062811
691,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2022,77.153754
700,Nord,activity rate,total,total,foreign,2018,72.113339
705,Nord,activity rate,total,total,foreign,2019,72.035551
710,Nord,activity rate,total,total,foreign,2020,66.72393
715,Nord,activity rate,total,total,foreign,2021,69.149079
716,Nord,activity rate,total,total,foreign,2022,70.291896
795,Nord-ovest,activity rate,total,upper and post secondary,foreign,2018,77.331741
800,Nord-ovest,activity rate,total,upper and post secondary,foreign,2019,77.210707
805,Nord-ovest,activity rate,total,upper and post secondary,foreign,2020,72.28169
810,Nord-ovest,activity rate,total,upper and post secondary,foreign,2021,75.02578
811,Nord-ovest,activity rate,total,upper and post secondary,foreign,2022,76.387383
820,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2018,77.357864
825,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2019,77.126995
830,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2020,68.446529
835,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2021,73.041038
836,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2022,75.881419
845,Nord-ovest,activity rate,total,total,foreign,2018,71.692117
850,Nord-ovest,activity rate,total,total,foreign,2019,71.354298
855,Nord-ovest,activity rate,total,total,foreign,2020,64.612493
860,Nord-ovest,activity rate,total,total,foreign,2021,68.382953
861,Nord-ovest,activity rate,total,total,foreign,2022,69.766699
940,Nord-est,activity rate,total,upper and post secondary,foreign,2018,79.924297
945,Nord-est,activity rate,total,upper and post secondary,foreign,2019,80.003409
950,Nord-est,activity rate,total,upper and post secondary,foreign,2020,77.928286
955,Nord-est,activity rate,total,upper and post secondary,foreign,2021,78.012284
956,Nord-est,activity rate,total,upper and post secondary,foreign,2022,77.884564
965,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2018,77.2227
970,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2019,77.459911
975,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2020,75.727417
980,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2021,77.565204
981,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2022,78.772615
990,Nord-est,activity rate,total,total,foreign,2018,72.715355
995,Nord-est,activity rate,total,total,foreign,2019,72.980551
1000,Nord-est,activity rate,total,total,foreign,2020,69.660037
1005,Nord-est,activity rate,total,total,foreign,2021,70.192367
1006,Nord-est,activity rate,total,total,foreign,2022,70.978822
1085,Centro (I),activity rate,total,upper and post secondary,foreign,2018,75.799724
1090,Centro (I),activity rate,total,upper and post secondary,foreign,2019,76.957947
1095,Centro (I),activity rate,total,upper and post secondary,foreign,2020,70.238037
1100,Centro (I),activity rate,total,upper and post secondary,foreign,2021,73.200034
1101,Centro (I),activity rate,total,upper and post secondary,foreign,2022,73.185421
1110,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2018,78.199841
1115,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2019,76.733507
1120,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2020,69.600577
1125,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2021,72.096131
1126,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2022,75.509666
1135,Centro (I),activity rate,total,total,foreign,2018,72.808153
1140,Centro (I),activity rate,total,total,foreign,2019,72.714359
1145,Centro (I),activity rate,total,total,foreign,2020,67.375235
1150,Centro (I),activity rate,total,total,foreign,2021,68.659904
1151,Centro (I),activity rate,total,total,foreign,2022,69.927062
2060,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2018,72.237052
2065,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2019,66.548863
2070,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2020,55.498942
2075,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2021,59.457163
2076,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2022,60.697479
2085,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2018,76.6804
2090,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2019,77.139207
2095,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2020,76.415026
2100,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2021,77.279722
2101,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2022,77.718457
2250,Mezzogiorno,activity rate,total,total,foreign,2018,65.956405
2255,Mezzogiorno,activity rate,total,total,foreign,2019,64.524255
2260,Mezzogiorno,activity rate,total,total,foreign,2020,59.258509
2265,Mezzogiorno,activity rate,total,total,foreign,2021,61.069924
2266,Mezzogiorno,activity rate,total,total,foreign,2022,62.121179
2360,Mezzogiorno,activity rate,total,upper and post secondary,foreign,2018,67.244426
2365,Mezzogiorno,activity rate,total,upper and post secondary,foreign,2019,63.358112
2370,Mezzogiorno,activity rate,total,upper and post secondary,foreign,2020,57.171226
2375,Mezzogiorno,activity rate,total,upper and post secondary,foreign,2021,59.34283
2376,Mezzogiorno,activity rate,total,upper and post secondary,foreign,2022,61.65592
2460,Mezzogiorno,activity rate,total,total,italian,2018,54.10846
2465,Mezzogiorno,activity rate,total,total,italian,2019,54.075789
2470,Mezzogiorno,activity rate,total,total,italian,2020,52.034704
2475,Mezzogiorno,activity rate,total,total,italian,2021,53.42928
2476,Mezzogiorno,activity rate,total,total,italian,2022,54.228796
2515,Mezzogiorno,activity rate,total,upper and post secondary,italian,2018,60.752525
2520,Mezzogiorno,activity rate,total,upper and post secondary,italian,2019,61.129344
2525,Mezzogiorno,activity rate,total,upper and post secondary,italian,2020,58.067429
2530,Mezzogiorno,activity rate,total,upper and post secondary,italian,2021,59.833716
2531,Mezzogiorno,activity rate,total,upper and post secondary,italian,2022,60.478024
2580,Nord-est,activity rate,total,total,italian,2018,62.12889
2585,Nord-est,activity rate,total,total,italian,2019,62.468438
2590,Nord-est,activity rate,total,total,italian,2020,60.924128
2595,Nord-est,activity rate,total,total,italian,2021,60.782525
2596,Nord-est,activity rate,total,total,italian,2022,61.953102
2660,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2018,88.123965
2665,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2019,88.024804
2670,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2020,86.1846
2675,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2021,87.397188
2676,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2022,88.223948
2685,Mezzogiorno,activity rate,total,total,foreign,2018,65.002994
2690,Mezzogiorno,activity rate,total,total,foreign,2019,63.671131
2695,Mezzogiorno,activity rate,total,total,foreign,2020,58.539183
2700,Mezzogiorno,activity rate,total,total,foreign,2021,60.224295
2701,Mezzogiorno,activity rate,total,total,foreign,2022,60.752198
2710,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2018,48.52539
2715,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2019,47.514621
2720,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2020,45.482632
2725,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2021,46.558645
2726,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2022,47.487448
2740,Nord-est,activity rate,total,total,foreign,2018,75.870639
2745,Nord-est,activity rate,total,total,foreign,2019,76.423577
2750,Nord-est,activity rate,total,total,foreign,2020,72.781121
2755,Nord-est,activity rate,total,total,foreign,2021,74.124447
2756,Nord-est,activity rate,total,total,foreign,2022,75.292148
2765,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2018,67.527878
2770,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2019,67.995653
2775,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2020,66.180655
2780,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2021,66.3981
2781,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2022,67.204944
2800,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2018,69.120936
2805,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2019,68.720348
2810,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2020,64.907604
2815,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2021,64.332086
2816,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2022,65.893059
2825,Centro (I),activity rate,total,upper and post secondary,italian,2018,74.736419
2830,Centro (I),activity rate,total,upper and post secondary,italian,2019,74.388374
2835,Centro (I),activity rate,total,upper and post secondary,italian,2020,73.269046
2840,Centro (I),activity rate,total,upper and post secondary,italian,2021,73.732196
2841,Centro (I),activity rate,total,upper and post secondary,italian,2022,75.318347
2930,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2018,56.081253
2935,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2019,55.671123
2940,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2020,54.664063
2945,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2021,54.471536
2946,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2022,55.348656
3080,Mezzogiorno,activity rate,total,total,italian,2018,47.243535
3085,Mezzogiorno,activity rate,total,total,italian,2019,47.11647
3090,Mezzogiorno,activity rate,total,total,italian,2020,45.117108
3095,Mezzogiorno,activity rate,total,total,italian,2021,46.138839
3096,Mezzogiorno,activity rate,total,total,italian,2022,46.718987
3125,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2018,75.017271
3130,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2019,75.910135
3135,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2020,74.873698
3140,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2021,75.979744
3141,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2022,77.283552
3220,Nord-ovest,activity rate,total,total,foreign,2018,75.486626
3225,Nord-ovest,activity rate,total,total,foreign,2019,75.37634
3230,Nord-ovest,activity rate,total,total,foreign,2020,68.814991
3235,Nord-ovest,activity rate,total,total,foreign,2021,72.779973
3236,Nord-ovest,activity rate,total,total,foreign,2022,74.169131
3305,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2018,65.815173
3310,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2019,65.490525
3315,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2020,58.755687
3320,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2021,61.837897
3321,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2022,62.264638
3385,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2018,76.682065
3390,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2019,77.146525
3395,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2020,76.425364
3400,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2021,77.285579
3401,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2022,77.718269
3505,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2018,64.80172
3510,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2019,64.576221
3515,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2020,59.751934
3520,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2021,60.766925
3521,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2022,61.446395
3580,Centro (I),activity rate,total,upper and post secondary,foreign,2018,74.932211
3585,Centro (I),activity rate,total,upper and post secondary,foreign,2019,76.082463
3590,Centro (I),activity rate,total,upper and post secondary,foreign,2020,69.23608
3595,Centro (I),activity rate,total,upper and post secondary,foreign,2021,72.251534
3596,Centro (I),activity rate,total,upper and post secondary,foreign,2022,71.911935
3655,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2018,87.593056
3660,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2019,87.474804
3665,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2020,85.611972
3670,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2021,87.069018
3671,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2022,88.017248
3710,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2018,64.893226
3715,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2019,64.788983
3720,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2020,60.436461
3725,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2021,61.953364
3726,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2022,62.47837
3810,Nord-ovest,activity rate,total,total,italian,2018,76.994669
3815,Nord-ovest,activity rate,total,total,italian,2019,77.297694
3820,Nord-ovest,activity rate,total,total,italian,2020,75.343655
3825,Nord-ovest,activity rate,total,total,italian,2021,76.061849
3826,Nord-ovest,activity rate,total,total,italian,2022,77.058401
3840,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2018,78.904505
3845,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2019,79.539731
3850,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2020,78.099329
3855,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2021,79.440919
3856,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2022,79.682498
3870,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2018,68.104038
3875,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2019,67.731545
3880,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2020,67.117065
3885,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2021,66.66397
3886,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2022,67.49566
3895,Nord,activity rate,total,total,italian,2018,61.547869
3900,Nord,activity rate,total,total,italian,2019,61.824216
3905,Nord,activity rate,total,total,italian,2020,60.203705
3910,Nord,activity rate,total,total,italian,2021,60.395185
3911,Nord,activity rate,total,total,italian,2022,61.337238
3970,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2018,78.199841
3975,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2019,76.733507
3980,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2020,69.616432
3985,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2021,72.277676
3986,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2022,75.509666
4160,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2018,75.766743
4165,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2019,75.356866
4170,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2020,67.237835
4175,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2021,72.477482
4176,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2022,73.632851
4185,Nord,activity rate,total,total,foreign,2018,75.645401
4190,Nord,activity rate,total,total,foreign,2019,75.816626
4195,Nord,activity rate,total,total,foreign,2020,70.491507
4200,Nord,activity rate,total,total,foreign,2021,73.351709
4201,Nord,activity rate,total,total,foreign,2022,74.656105
4210,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2018,75.817121
4215,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2019,75.612482
4220,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2020,70.726077
4225,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2021,71.69377
4226,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2022,74.355965
4260,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2018,75.454992
4265,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2019,75.598083
4270,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2020,70.62791
4275,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2021,74.039315
4276,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2022,75.227319
4365,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2018,40.914694
4370,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2019,40.007479
4375,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2020,38.222833
4380,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2021,38.465897
4381,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2022,39.27508
4395,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2018,82.311589
4400,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2019,81.915474
4405,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2020,80.775137
4410,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2021,81.946652
4411,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2022,82.338067
4420,Mezzogiorno,activity rate,total,total,italian,2018,58.349483
4425,Mezzogiorno,activity rate,total,total,italian,2019,58.297253
4430,Mezzogiorno,activity rate,total,total,italian,2020,56.145417
4435,Mezzogiorno,activity rate,total,total,italian,2021,57.582188
4436,Mezzogiorno,activity rate,total,total,italian,2022,58.575171
4485,Nord,activity rate,total,upper and post secondary,foreign,2018,77.853856
4490,Nord,activity rate,total,upper and post secondary,foreign,2019,77.797807
4495,Nord,activity rate,total,upper and post secondary,foreign,2020,74.441919
4500,Nord,activity rate,total,upper and post secondary,foreign,2021,75.51004
4501,Nord,activity rate,total,upper and post secondary,foreign,2022,75.814478
4510,Mezzogiorno,activity rate,total,upper and post secondary,italian,2018,56.785678
4515,Mezzogiorno,activity rate,total,upper and post secondary,italian,2019,56.88697
4520,Mezzogiorno,activity rate,total,upper and post secondary,italian,2020,53.800263
4525,Mezzogiorno,activity rate,total,upper and post secondary,italian,2021,55.303852
4526,Mezzogiorno,activity rate,total,upper and post secondary,italian,2022,55.842555
4535,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2018,63.923205
4540,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2019,64.071211
4545,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2020,59.707916
4550,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2021,61.047267
4551,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2022,61.147807
4780,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2018,72.237052
4785,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2019,66.548863
4790,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2020,55.498942
4795,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2021,59.457163
4796,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2022,60.697479
4860,Nord-est,activity rate,total,total,italian,2018,77.794387
4865,Nord-est,activity rate,total,total,italian,2019,78.34612
4870,Nord-est,activity rate,total,total,italian,2020,76.585534
4875,Nord-est,activity rate,total,total,italian,2021,76.544179
4876,Nord-est,activity rate,total,total,italian,2022,77.788375
4890,Nord-ovest,activity rate,total,upper and post secondary,foreign,2018,76.911572
4895,Nord-ovest,activity rate,total,upper and post secondary,foreign,2019,76.482344
4900,Nord-ovest,activity rate,total,upper and post secondary,foreign,2020,71.783533
4905,Nord-ovest,activity rate,total,upper and post secondary,foreign,2021,74.319839
4906,Nord-ovest,activity rate,total,upper and post secondary,foreign,2022,75.243445
5030,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2018,69.476741
5035,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2019,69.305992
5040,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2020,65.004724
5045,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2021,66.960778
5046,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2022,66.700865
5060,Nord-est,activity rate,total,upper and post secondary,italian,2018,72.017795
5065,Nord-est,activity rate,total,upper and post secondary,italian,2019,72.27314
5070,Nord-est,activity rate,total,upper and post secondary,italian,2020,69.849344
5075,Nord-est,activity rate,total,upper and post secondary,italian,2021,69.133028
5076,Nord-est,activity rate,total,upper and post secondary,italian,2022,70.694816
5415,Nord-est,activity rate,total,upper and post secondary,foreign,2018,80.217546
5420,Nord-est,activity rate,total,upper and post secondary,foreign,2019,80.519455
5425,Nord-est,activity rate,total,upper and post secondary,foreign,2020,78.354873
5430,Nord-est,activity rate,total,upper and post secondary,foreign,2021,78.71887
5431,Nord-est,activity rate,total,upper and post secondary,foreign,2022,78.22761
5615,Centro (I),activity rate,total,total,foreign,2018,71.552763
5620,Centro (I),activity rate,total,total,foreign,2019,71.500024
5625,Centro (I),activity rate,total,total,foreign,2020,65.991885
5630,Centro (I),activity rate,total,total,foreign,2021,67.530388
5631,Centro (I),activity rate,total,total,foreign,2022,68.249211
5640,Nord-ovest,activity rate,total,upper and post secondary,foreign,2018,77.696639
