"ITTER107","Territory","SEXISTAT1","Gender","ETA1","Age class","CITTADINANZA","Citizenship","PROFESSIONE1","Occupation 2011","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q2","Q2-2021",2202.703,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q3","Q3-2021",2332.813,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q4","Q4-2021",2390.791,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q1","Q1-2022",2336.856,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q2","Q2-2022",2382.439,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q3","Q3-2022",2422.2,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q4","Q4-2022",2356.389,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2018","2018",395.759,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2019","2019",403.084,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2020","2020",377.062,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2021","2021",376.272,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2022","2022",370.059,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2018","2018",763.57,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q2","Q2-2018",775.041,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q1","Q1-2018",734.948,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q4","Q4-2018",762.818,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q3","Q3-2018",781.474,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2019","2019",799.185,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q1","Q1-2019",779.483,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q2","Q2-2019",809.585,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q4","Q4-2019",799.836,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q3","Q3-2019",807.836,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2020","2020",767.472,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q2","Q2-2020",738.854,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q1","Q1-2020",780.47,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q3","Q3-2020",770.875,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q4","Q4-2020",779.689,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2021","2021",792.077,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2022","2022",839.869,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q1","Q1-2021",736.658,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q2","Q2-2021",771.196,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q3","Q3-2021",806.077,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q4","Q4-2021",854.375,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q1","Q1-2022",824.416,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q2","Q2-2022",844.244,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q3","Q3-2022",850.487,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q4","Q4-2022",840.329,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2018","2018",129.239,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2019","2019",125.953,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2020","2020",119.853,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2021","2021",116.912,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2022","2022",110.859,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018","2018",800.609,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q2","Q2-2018",801.928,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q1","Q1-2018",776.653,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q4","Q4-2018",821.124,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q3","Q3-2018",802.73,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019","2019",808.431,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q1","Q1-2019",802.055,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q2","Q2-2019",807.446,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q4","Q4-2019",810.731,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q3","Q3-2019",813.49,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020","2020",736.223,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q2","Q2-2020",702.545,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q1","Q1-2020",760.919,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q3","Q3-2020",743.894,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q4","Q4-2020",737.533,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021","2021",766.108,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022","2022",812.542,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q1","Q1-2021",713.057,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q2","Q2-2021",738.982,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q3","Q3-2021",791.68,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q4","Q4-2021",820.714,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q1","Q1-2022",790.209,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q2","Q2-2022",810.095,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q3","Q3-2022",814.831,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q4","Q4-2022",835.035,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2018","2018",75.453,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2019","2019",75.702,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2020","2020",71.306,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2021","2021",72.455,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2022","2022",73.521,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","50","armed forces","2018","2018",0.118,"0","less than half of the unit used"
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018","2018",569.62,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q2","Q2-2018",590.43,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q1","Q1-2018",537.459,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q4","Q4-2018",551.119,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q3","Q3-2018",599.472,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019","2019",597.279,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q1","Q1-2019",587.188,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q2","Q2-2019",611.154,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q4","Q4-2019",589.892,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q3","Q3-2019",600.88,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020","2020",573.404,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q2","Q2-2020",559.744,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q1","Q1-2020",587.415,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q3","Q3-2020",586.134,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q4","Q4-2020",560.325,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021","2021",596.574,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022","2022",639.277,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q1","Q1-2021",538.898,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q2","Q2-2021",604.692,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q3","Q3-2021",606.869,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q4","Q4-2021",635.837,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q1","Q1-2022",615.67,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q2","Q2-2022",646.119,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q3","Q3-2022",662.905,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q4","Q4-2022",632.414,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018","2018",601.084,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q2","Q2-2018",602.756,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q1","Q1-2018",591.057,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q4","Q4-2018",597.255,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2018-Q3","Q3-2018",613.269,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019","2019",612.102,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q1","Q1-2019",594.443,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q2","Q2-2019",610.777,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q4","Q4-2019",600.112,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2019-Q3","Q3-2019",643.075,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020","2020",565.141,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q2","Q2-2020",539.442,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q1","Q1-2020",586.683,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q3","Q3-2020",572.416,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2020-Q4","Q4-2020",562.024,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021","2021",563.848,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022","2022",595.658,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q1","Q1-2021",538.811,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q2","Q2-2021",547.967,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q3","Q3-2021",573.446,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2021-Q4","Q4-2021",595.169,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q1","Q1-2022",612.077,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q2","Q2-2022",611.186,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q3","Q3-2022",601.075,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","99","total","2022-Q4","Q4-2022",558.295,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2018","2018",179.567,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2018-Q2","Q2-2018",182.604,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2018-Q1","Q1-2018",172.503,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2018-Q4","Q4-2018",181.449,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2018-Q3","Q3-2018",181.711,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2019","2019",181.279,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2019-Q1","Q1-2019",170.153,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2019-Q2","Q2-2019",171.385,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2019-Q4","Q4-2019",190.925,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2019-Q3","Q3-2019",192.652,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2020","2020",169.684,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2020-Q2","Q2-2020",175.5,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2020-Q1","Q1-2020",179.833,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2020-Q3","Q3-2020",157.025,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2020-Q4","Q4-2020",166.377,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2021","2021",174.927,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2022","2022",195.684,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2021-Q1","Q1-2021",152.882,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2021-Q2","Q2-2021",159.803,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2021-Q3","Q3-2021",187.353,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2021-Q4","Q4-2021",199.669,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2022-Q1","Q1-2022",177.987,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2022-Q2","Q2-2022",195.591,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2022-Q3","Q3-2022",198.557,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","10","managers, professionals and technicians","2022-Q4","Q4-2022",210.601,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2018","2018",485.144,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2018-Q2","Q2-2018",489.322,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2018-Q1","Q1-2018",469.909,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2018-Q4","Q4-2018",477.796,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2018-Q3","Q3-2018",503.55,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2019","2019",476.944,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2019-Q1","Q1-2019",477.503,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2019-Q2","Q2-2019",471.196,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2019-Q4","Q4-2019",470.349,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2019-Q3","Q3-2019",488.73,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2020","2020",405.873,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2020-Q2","Q2-2020",373.066,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2020-Q1","Q1-2020",417.351,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2020-Q3","Q3-2020",428.963,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2020-Q4","Q4-2020",404.11,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2021","2021",436.646,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2022","2022",469.707,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2021-Q1","Q1-2021",393.253,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2021-Q2","Q2-2021",439.675,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2021-Q3","Q3-2021",457.304,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2021-Q4","Q4-2021",456.351,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2022-Q1","Q1-2022",451.991,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2022-Q2","Q2-2022",468.378,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2022-Q3","Q3-2022",496.059,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","20","white collar","2022-Q4","Q4-2022",462.4,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2018","2018",83.326,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2018-Q2","Q2-2018",93.129,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2018-Q1","Q1-2018",73.138,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2018-Q4","Q4-2018",75.667,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2018-Q3","Q3-2018",91.371,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2019","2019",87.771,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2019-Q1","Q1-2019",88.474,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2019-Q2","Q2-2019",93.434,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2019-Q4","Q4-2019",77.808,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2019-Q3","Q3-2019",91.368,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2020","2020",84.484,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2020-Q2","Q2-2020",88.412,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2020-Q1","Q1-2020",74.839,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2020-Q3","Q3-2020",90.31,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2020-Q4","Q4-2020",84.373,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2021","2021",92.929,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2022","2022",106.541,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2021-Q1","Q1-2021",82.013,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2021-Q2","Q2-2021",93.597,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2021-Q3","Q3-2021",95.253,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2021-Q4","Q4-2021",100.853,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2022-Q1","Q1-2022",112.1,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2022-Q2","Q2-2022",102.053,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2022-Q3","Q3-2022",110.718,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","30","blue collar and craft and related trades workers","2022-Q4","Q4-2022",101.291,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2018","2018",379.381,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2018-Q2","Q2-2018",371.114,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2018-Q1","Q1-2018",378.019,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2018-Q4","Q4-2018",390.286,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2018-Q3","Q3-2018",378.105,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2019","2019",383.844,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2019-Q1","Q1-2019",374.758,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2019-Q2","Q2-2019",380.241,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2019-Q4","Q4-2019",385.294,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2019-Q3","Q3-2019",395.082,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2020","2020",352.651,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2020-Q2","Q2-2020",335.014,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2020-Q1","Q1-2020",356.262,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2020-Q3","Q3-2020",367.244,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2020-Q4","Q4-2020",352.084,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2021","2021",337.619,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2022","2022",326.771,,
"IT","Italy","2","females","Y15-89","15-89 years","FRG","foreign","40","elementary occupations","2021-Q1","Q1-2021",332.826,,
