"ITTER107","Territory","TIPO_DATO7","Data type","ISO_A","Country of birth","TIME","Select time","Value","Flag Codes","Flags"
"ITD33","Belluno","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2019","2019",9.31,,
"ITD33","Belluno","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2020","2020",9.39,,
"ITD34","Treviso","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2018","2018",14.76,,
"ITD34","Treviso","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2019","2019",14.91,,
"ITD34","Treviso","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2020","2020",15.16,,
"ITD34","Treviso","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2018","2018",21.26,,
"ITD34","Treviso","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2019","2019",21.52,,
"ITD34","Treviso","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2020","2020",22.2,,
"ITD35","Venezia","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2018","2018",11.82,,
"ITD35","Venezia","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2019","2019",11.95,,
"ITD35","Venezia","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2020","2020",12.19,,
"ITD36","Padova","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2018","2018",8.67,,
"ITD36","Padova","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2019","2019",8.85,,
"ITD36","Padova","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2020","2020",9.04,,
"ITD37","Rovigo","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2018","2018",12.88,,
"ITD37","Rovigo","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2019","2019",13.31,,
"ITD37","Rovigo","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2020","2020",13.28,,
"ITD37","Rovigo","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2018","2018",17.67,,
"ITD37","Rovigo","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2019","2019",18.66,,
"ITD37","Rovigo","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2020","2020",18.3,,
"ITD4","Friuli-Venezia Giulia","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2018","2018",11.86,,
"ITD4","Friuli-Venezia Giulia","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2019","2019",12.05,,
"ITD4","Friuli-Venezia Giulia","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2020","2020",12.25,,
"ITD41","Pordenone","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2018","2018",8.9,,
"ITD41","Pordenone","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2019","2019",8.99,,
"ITD41","Pordenone","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2020","2020",9.26,,
"ITD42","Udine","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2018","2018",14.04,,
"ITD42","Udine","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2019","2019",14.12,,
"ITD42","Udine","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2020","2020",14.21,,
"ITE16","Livorno","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2018","2018",20.71,,
"ITE16","Livorno","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2019","2019",21.04,,
"ITE16","Livorno","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2020","2020",20.7,,
"ITE17","Pisa","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2018","2018",11.8,,
"ITE17","Pisa","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2019","2019",11.92,,
"ITE17","Pisa","HOUWAG_ENTEMP_MED_MI","Gross hourly wage per hour paid of employee jobs  in euros (median).","IT","Italy","2020","2020",12.16,,
"ITE18","Arezzo","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2018","2018",8.36,,
"ITE18","Arezzo","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2019","2019",8.48,,
"ITE18","Arezzo","HOUWAG_ENTEMP_FIRD_MI","Gross hourly wage per hour paid of employee jobs in euro (first decile).","IT","Italy","2020","2020",8.66,,
"ITE19","Siena","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2018","2018",13.97,,
"ITE19","Siena","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2019","2019",14.54,,
"ITE19","Siena","HOUWAG_ENTEMP_AV_MI","Gross hourly wage per hour paid of employee jobs in euro (average).","IT","Italy","2020","2020",15.02,,
"ITE19","Siena","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2018","2018",20.69,,
"ITE19","Siena","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2019","2019",21.57,,
"ITE19","Siena","HOUWAG_ENTEMP_NIND_MI","Gross hourly wage per hour paid of employee jobs in euro (ninth decile).","IT","Italy","2020","2020",22.95,,
