"COUNTRY","Country","BIRTH","Place of birth","GENDER","Gender","RATE","Rate","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,6.5,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,6.2,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,7.7,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,5.8,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,68.8,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,69.7,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,69.3,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,72,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,72,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,72.3,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,71,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,74.2,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,5.5,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,5.5,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,7.1,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,5.3,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,76.2,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,76.5,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,76.4,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,78.4,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,75.3,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,75.2,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,72.6,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,74.9,,
"AUT","Austria","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,9.6,,
"AUT","Austria","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,8.2,,
"AUT","Austria","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,11.2,,
"AUT","Austria","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,11,,
"AUT","Austria","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,83.3,,
"AUT","Austria","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,82,,
"AUT","Austria","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,81.5,,
"AUT","Austria","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,84.2,,
"AUT","Austria","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,61.2,,
"AUT","Austria","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,62.9,,
"AUT","Austria","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,59.9,,
"AUT","Austria","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,60.6,,
"AUT","Austria","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,9.2,,
"AUT","Austria","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,8.4,,
"AUT","Austria","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,12.3,,
"AUT","Austria","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,11.6,,
"AUT","Austria","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,67.4,,
"AUT","Austria","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,68.7,,
"AUT","Austria","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,67.7,,
"AUT","Austria","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,68.5,,
"AUT","Austria","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,68,,
"AUT","Austria","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,68.9,,
"AUT","Austria","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,66.1,,
"AUT","Austria","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,67.6,,
"AUT","Austria","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,9.4,,
"AUT","Austria","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,8.3,,
"AUT","Austria","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,11.6,,
"AUT","Austria","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,11.3,,
"AUT","Austria","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,75.1,,
"AUT","Austria","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,75.1,,
"AUT","Austria","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,74.4,,
"AUT","Austria","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,76.2,,
"BEL","Belgium","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,65.7,,
"BEL","Belgium","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,66.2,,
"BEL","Belgium","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,65.5,,
"BEL","Belgium","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,68,,
"BEL","Belgium","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,12.4,,
"BEL","Belgium","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,10.3,,
"BEL","Belgium","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,11.2,,
"BEL","Belgium","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,10.5,,
"BEL","Belgium","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,74.9,,
"BEL","Belgium","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,73.8,,
"BEL","Belgium","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,73.6,,
"BEL","Belgium","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,76,,
"BEL","Belgium","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,51.3,,
"BEL","Belgium","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,51.6,,
"BEL","Belgium","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,50,,
"BEL","Belgium","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,51.4,,
"BEL","Belgium","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,10.5,,
"BEL","Belgium","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,10.4,,
"BEL","Belgium","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,10.7,,
"BEL","Belgium","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,11.8,,
"BEL","Belgium","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,57.4,,
"BEL","Belgium","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,57.6,,
"BEL","Belgium","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,55.9,,
"BEL","Belgium","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,58.2,,
"BEL","Belgium","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,58.3,,
"BEL","Belgium","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,58.7,,
"BEL","Belgium","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,57.5,,
"BEL","Belgium","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,59.4,,
"BEL","Belgium","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,11.5,,
"BEL","Belgium","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,10.4,,
"BEL","Belgium","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,11,,
"BEL","Belgium","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,11,,
"BEL","Belgium","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,65.9,,
"BEL","Belgium","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,65.5,,
"BEL","Belgium","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,64.5,,
"BEL","Belgium","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,66.8,,
"CAN","Canada","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,78.4,,
"CAN","Canada","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,79.3,,
"CAN","Canada","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,74.8,,
"CAN","Canada","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,78.6,,
"CAN","Canada","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,6,,
"CAN","Canada","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,5.9,,
"CAN","Canada","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,9.8,,
"CAN","Canada","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,8,,
"CAN","Canada","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,83.4,,
"CAN","Canada","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,84.3,,
"CAN","Canada","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,82.9,,
"CAN","Canada","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,85.4,,
"CAN","Canada","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,66.6,,
"CAN","Canada","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,67.5,,
"CAN","Canada","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,62.4,,
"CAN","Canada","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,67.4,,
"CAN","Canada","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,6.7,,
"CAN","Canada","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,6.7,,
"CAN","Canada","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,12,,
"CAN","Canada","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,9,,
"CAN","Canada","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,71.4,,
"CAN","Canada","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,72.3,,
"CAN","Canada","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,71,,
"CAN","Canada","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,74.1,,
"CAN","Canada","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,72.3,,
"CAN","Canada","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,73.2,,
"CAN","Canada","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,68.5,,
"CAN","Canada","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,73.3,,
"CAN","Canada","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,6.4,,
"CAN","Canada","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,6.3,,
"CAN","Canada","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,10.8,,
"CAN","Canada","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,8.5,,
"CAN","Canada","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,77.3,,
"CAN","Canada","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,78.1,,
"CAN","Canada","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,76.8,,
"CAN","Canada","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,80.1,,
"CZE","Czech Republic","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,88.1,,
"CZE","Czech Republic","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,88.4,,
"CZE","Czech Republic","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,87.5,,
"CZE","Czech Republic","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,89.3,,
"CZE","Czech Republic","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,1.8,,
"CZE","Czech Republic","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,1.3,,
"CZE","Czech Republic","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,2.6,,
"CZE","Czech Republic","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,2.9,,
"CZE","Czech Republic","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,89.8,,
"CZE","Czech Republic","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,89.5,,
"CZE","Czech Republic","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,89.9,,
"CZE","Czech Republic","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,91.9,,
"CZE","Czech Republic","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,70,,
"CZE","Czech Republic","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,69.6,,
"CZE","Czech Republic","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,70.2,,
"CZE","Czech Republic","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,69.3,,
"CZE","Czech Republic","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,3.4,,
"CZE","Czech Republic","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,4.9,,
"CZE","Czech Republic","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,3.6,,
"CZE","Czech Republic","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,4,,
"CZE","Czech Republic","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,72.5,,
"CZE","Czech Republic","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,73.2,,
"CZE","Czech Republic","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,72.8,,
"CZE","Czech Republic","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,72.2,,
"CZE","Czech Republic","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,79.4,,
"CZE","Czech Republic","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,79.2,,
"CZE","Czech Republic","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,79.3,,
"CZE","Czech Republic","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,79.8,,
"CZE","Czech Republic","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,2.5,,
"CZE","Czech Republic","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,2.9,,
"CZE","Czech Republic","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,3,,
"CZE","Czech Republic","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,3.3,,
"CZE","Czech Republic","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,81.4,,
"CZE","Czech Republic","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,81.6,,
"CZE","Czech Republic","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,81.8,,
"CZE","Czech Republic","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,82.5,,
"DNK","Denmark","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,72.6,,
"DNK","Denmark","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,72.4,,
"DNK","Denmark","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,72.4,,
"DNK","Denmark","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,75.4,,
"DNK","Denmark","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,9,,
"DNK","Denmark","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,7.9,,
"DNK","Denmark","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,7.6,,
"DNK","Denmark","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,7.3,,
"DNK","Denmark","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,79.7,,
"DNK","Denmark","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,78.6,,
"DNK","Denmark","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,78.4,,
"DNK","Denmark","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,81.3,,
"DNK","Denmark","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,60.4,,
"DNK","Denmark","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,59.4,,
"DNK","Denmark","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,61.3,,
"DNK","Denmark","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,64.7,,
"DNK","Denmark","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,10.7,,
"DNK","Denmark","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,9,,
"DNK","Denmark","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2020","2020","PC","Percentage","0","Units",,,9.5,,
"DNK","Denmark","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2021","2021","PC","Percentage","0","Units",,,5.6,,
"DNK","Denmark","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,67.7,,
"DNK","Denmark","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,65.3,,
"DNK","Denmark","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2020","2020","PC","Percentage","0","Units",,,67.8,,
"DNK","Denmark","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2021","2021","PC","Percentage","0","Units",,,69.9,,
"DNK","Denmark","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,66.4,,
"DNK","Denmark","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,65.7,,
"DNK","Denmark","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2020","2020","PC","Percentage","0","Units",,,66.7,,
"DNK","Denmark","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2021","2021","PC","Percentage","0","Units",,,70,,
