"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","HUR","TOT","PC_LF","A","2018",2.441667,
"JPN","HUR","TOT","PC_LF","A","2019",2.35,
"JPN","HUR","TOT","PC_LF","A","2020",2.775,
"JPN","HUR","TOT","PC_LF","A","2021",2.816667,
"KOR","HUR","TOT","PC_LF","A","2018",3.833333,
"KOR","HUR","TOT","PC_LF","A","2019",3.783333,
"KOR","HUR","TOT","PC_LF","A","2020",3.941667,
"KOR","HUR","TOT","PC_LF","A","2021",3.675,
"LUX","HUR","TOT","PC_LF","A","2018",5.5,
"LUX","HUR","TOT","PC_LF","A","2019",5.591667,
"LUX","HUR","TOT","PC_LF","A","2020",6.691667,
"LUX","HUR","TOT","PC_LF","A","2021",5.425,
"MEX","HUR","TOT","PC_LF","A","2018",3.320195,
"MEX","HUR","TOT","PC_LF","A","2019",3.490462,
"MEX","HUR","TOT","PC_LF","A","2020",4.431634,"B"
"MEX","HUR","TOT","PC_LF","A","2021",4.138621,
"NLD","HUR","TOT","PC_LF","A","2018",4.866667,
"NLD","HUR","TOT","PC_LF","A","2019",4.433333,
"NLD","HUR","TOT","PC_LF","A","2020",4.85,
"NLD","HUR","TOT","PC_LF","A","2021",4.225,
"NZL","HUR","TOT","PC_LF","A","2018",4.325,
"NZL","HUR","TOT","PC_LF","A","2019",4.1,
"NZL","HUR","TOT","PC_LF","A","2020",4.6,
"NZL","HUR","TOT","PC_LF","A","2021",3.8,
"NOR","HUR","TOT","PC_LF","A","2018",3.991667,
"NOR","HUR","TOT","PC_LF","A","2019",3.875,
"NOR","HUR","TOT","PC_LF","A","2020",4.75,
"NOR","HUR","TOT","PC_LF","A","2021",4.458333,
"POL","HUR","TOT","PC_LF","A","2018",3.883333,
"POL","HUR","TOT","PC_LF","A","2019",3.308333,
"POL","HUR","TOT","PC_LF","A","2020",3.216667,
"POL","HUR","TOT","PC_LF","A","2021",3.375,
"PRT","HUR","TOT","PC_LF","A","2018",7.166667,
"PRT","HUR","TOT","PC_LF","A","2019",6.675,
"PRT","HUR","TOT","PC_LF","A","2020",7.116667,
"PRT","HUR","TOT","PC_LF","A","2021",6.591667,
"SVK","HUR","TOT","PC_LF","A","2018",6.508333,
"SVK","HUR","TOT","PC_LF","A","2019",5.716667,
"SVK","HUR","TOT","PC_LF","A","2020",6.658333,
"SVK","HUR","TOT","PC_LF","A","2021",6.825,
"ESP","HUR","TOT","PC_LF","A","2018",15.26667,
"ESP","HUR","TOT","PC_LF","A","2019",14.10833,
"ESP","HUR","TOT","PC_LF","A","2020",15.53333,
"ESP","HUR","TOT","PC_LF","A","2021",14.79167,
"SWE","HUR","TOT","PC_LF","A","2018",6.516667,
"SWE","HUR","TOT","PC_LF","A","2019",6.975,
"SWE","HUR","TOT","PC_LF","A","2020",8.541667,
"SWE","HUR","TOT","PC_LF","A","2021",8.8,
"CHE","HUR","TOT","PC_LF","A","2018",4.714414,
"CHE","HUR","TOT","PC_LF","A","2019",4.394452,
"CHE","HUR","TOT","PC_LF","A","2020",4.815328,"B"
"CHE","HUR","TOT","PC_LF","A","2021",5.098192,
"TUR","HUR","TOT","PC_LF","A","2018",10.89167,
"TUR","HUR","TOT","PC_LF","A","2019",13.74167,
"TUR","HUR","TOT","PC_LF","A","2020",13.14167,
"TUR","HUR","TOT","PC_LF","A","2021",12.03333,
"GBR","HUR","TOT","PC_LF","A","2018",4.1,
"GBR","HUR","TOT","PC_LF","A","2019",3.825,
"GBR","HUR","TOT","PC_LF","A","2020",4.575,
"GBR","HUR","TOT","PC_LF","A","2021",4.525,
"USA","HUR","TOT","PC_LF","A","2018",3.9,
"USA","HUR","TOT","PC_LF","A","2019",3.666667,
"USA","HUR","TOT","PC_LF","A","2020",8.091666,
"USA","HUR","TOT","PC_LF","A","2021",5.366667,
"CHL","HUR","TOT","PC_LF","A","2018",7.376639,
"CHL","HUR","TOT","PC_LF","A","2019",7.22264,
"CHL","HUR","TOT","PC_LF","A","2020",10.77024,
"CHL","HUR","TOT","PC_LF","A","2021",8.86145,
"EST","HUR","TOT","PC_LF","A","2018",5.391667,
"EST","HUR","TOT","PC_LF","A","2019",4.483333,
"EST","HUR","TOT","PC_LF","A","2020",6.883333,
"EST","HUR","TOT","PC_LF","A","2021",6.208333,
"ISR","HUR","TOT","PC_LF","A","2018",4,
"ISR","HUR","TOT","PC_LF","A","2019",3.8,
"ISR","HUR","TOT","PC_LF","A","2020",4.325,
"ISR","HUR","TOT","PC_LF","A","2021",4.958333,
"SVN","HUR","TOT","PC_LF","A","2018",5.125,
"SVN","HUR","TOT","PC_LF","A","2019",4.441667,
"SVN","HUR","TOT","PC_LF","A","2020",4.983333,
"SVN","HUR","TOT","PC_LF","A","2021",4.775,
"OECD","HUR","TOT","PC_LF","A","2018",5.491814,"E"
"OECD","HUR","TOT","PC_LF","A","2019",5.418824,"E"
"OECD","HUR","TOT","PC_LF","A","2020",7.164883,"E"
"OECD","HUR","TOT","PC_LF","A","2021",6.163185,"E"
"G-7","HUR","TOT","PC_LF","A","2018",4.527409,"E"
"G-7","HUR","TOT","PC_LF","A","2019",4.263134,"E"
"G-7","HUR","TOT","PC_LF","A","2020",6.465192,"E"
"G-7","HUR","TOT","PC_LF","A","2021",5.20773,"E"
"EA19","HUR","TOT","PC_LF","A","2018",8.233334,
"EA19","HUR","TOT","PC_LF","A","2019",7.6,
"EA19","HUR","TOT","PC_LF","A","2020",7.941667,
"EA19","HUR","TOT","PC_LF","A","2021",7.733333,
"LVA","HUR","TOT","PC_LF","A","2018",7.4,
"LVA","HUR","TOT","PC_LF","A","2019",6.316667,
"LVA","HUR","TOT","PC_LF","A","2020",8.091666,
"LVA","HUR","TOT","PC_LF","A","2021",7.575,
"LTU","HUR","TOT","PC_LF","A","2018",6.183333,
"LTU","HUR","TOT","PC_LF","A","2019",6.283333,
"LTU","HUR","TOT","PC_LF","A","2020",8.516666,
"LTU","HUR","TOT","PC_LF","A","2021",7.125,
"COL","HUR","TOT","PC_LF","A","2018",9.529166,
"COL","HUR","TOT","PC_LF","A","2019",10.37083,
"COL","HUR","TOT","PC_LF","A","2020",15.86417,
"COL","HUR","TOT","PC_LF","A","2021",13.81083,
"EU27_2020","HUR","TOT","PC_LF","A","2018",7.391667,
"EU27_2020","HUR","TOT","PC_LF","A","2019",6.825,
"EU27_2020","HUR","TOT","PC_LF","A","2020",7.225,
"EU27_2020","HUR","TOT","PC_LF","A","2021",7.05,
"CRI","HUR","TOT","PC_LF","A","2018",10.26405,
"CRI","HUR","TOT","PC_LF","A","2019",11.75539,
"CRI","HUR","TOT","PC_LF","A","2020",19.60688,
"CRI","HUR","TOT","PC_LF","A","2021",16.43337,
