"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVN","AVWAGE","TOT","USD","A","2021",50466.6879441415,
"SVN","AVWAGE","TOT","USD","A","2022",47203.6274349093,
"OECD","AVWAGE","TOT","USD","A","2018",51768,
"OECD","AVWAGE","TOT","USD","A","2019",52654,
"OECD","AVWAGE","TOT","USD","A","2020",53448,
"OECD","AVWAGE","TOT","USD","A","2021",54257.5955364606,
"OECD","AVWAGE","TOT","USD","A","2022",53415.8435243834,
"ISL","AVWAGE","TOT","USD","A","2018",79476,
"ISL","AVWAGE","TOT","USD","A","2019",76444,
"ISL","AVWAGE","TOT","USD","A","2020",71687,
"ISL","AVWAGE","TOT","USD","A","2021",74654.5195183111,
"ISL","AVWAGE","TOT","USD","A","2022",79473.3592943684,
"NZL","AVWAGE","TOT","USD","A","2018",48784,
"NZL","AVWAGE","TOT","USD","A","2019",50211,
"NZL","AVWAGE","TOT","USD","A","2020",51417,
"NZL","AVWAGE","TOT","USD","A","2021",51877.3367043711,
"NZL","AVWAGE","TOT","USD","A","2022",50722.4543013716,
"CHL","AVWAGE","TOT","USD","A","2018",32348,
"CHL","AVWAGE","TOT","USD","A","2019",33190,
"CHL","AVWAGE","TOT","USD","A","2020",31369,
"CHL","AVWAGE","TOT","USD","A","2021",33042.3321032483,
"LVA","AVWAGE","TOT","USD","A","2018",30640,
"LVA","AVWAGE","TOT","USD","A","2019",31972,
"LVA","AVWAGE","TOT","USD","A","2020",33199,
"LVA","AVWAGE","TOT","USD","A","2021",35923.0630482097,
"LVA","AVWAGE","TOT","USD","A","2022",34136.1548723268,
"LTU","AVWAGE","TOT","USD","A","2018",39524,
"LTU","AVWAGE","TOT","USD","A","2019",42041,
"LTU","AVWAGE","TOT","USD","A","2020",44228,
"LTU","AVWAGE","TOT","USD","A","2021",47035.4439005045,
"LTU","AVWAGE","TOT","USD","A","2022",43874.581550348,
"TUR","AVWAGE","TOT","USD","A","2018",30041,
"TUR","AVWAGE","TOT","USD","A","2019",31927,
"TUR","AVWAGE","TOT","USD","A","2020",31761,
"COL","AVWAGE","TOT","USD","A","2018",21821,
"COL","AVWAGE","TOT","USD","A","2019",21751,
"COL","AVWAGE","TOT","USD","A","2020",24681,
"COL","AVWAGE","TOT","USD","A","2021",22248.491555719,
"CRI","AVWAGE","TOT","USD","A","2018",27709,
"CRI","AVWAGE","TOT","USD","A","2019",28524,
"CRI","AVWAGE","TOT","USD","A","2020",31341,
"CRI","AVWAGE","TOT","USD","A","2021",31117.8342634137,
