,Territory,Data type,Gender,Highest level of education attained,Citizenship,TIME,Value
4949,Italy,unemployment rate,females,"no educational degree, primary and lower secondary school certificate",total,2018,17.082162
4954,Italy,unemployment rate,females,"no educational degree, primary and lower secondary school certificate",total,2019,16.388192
4959,Italy,unemployment rate,females,"no educational degree, primary and lower secondary school certificate",total,2020,15.595889
4964,Italy,unemployment rate,females,"no educational degree, primary and lower secondary school certificate",total,2021,16.217069
4965,Italy,unemployment rate,females,"no educational degree, primary and lower secondary school certificate",total,2022,14.600008
5024,Italy,unemployment rate,total,upper and post secondary,total,2018,10.186777
5029,Italy,unemployment rate,total,upper and post secondary,total,2019,9.504865
5034,Italy,unemployment rate,total,upper and post secondary,total,2020,8.942135
5039,Italy,unemployment rate,total,upper and post secondary,total,2021,9.32063
5040,Italy,unemployment rate,total,upper and post secondary,total,2022,7.852361
5199,Italy,unemployment rate,total,total,total,2018,10.444246
5204,Italy,unemployment rate,total,total,total,2019,9.806329
5209,Italy,unemployment rate,total,total,total,2020,9.254824
5214,Italy,unemployment rate,total,total,total,2021,9.402401
5215,Italy,unemployment rate,total,total,total,2022,7.970066
5374,Italy,unemployment rate,total,"no educational degree, primary and lower secondary school certificate",total,2018,14.542729
5379,Italy,unemployment rate,total,"no educational degree, primary and lower secondary school certificate",total,2019,13.760171
5384,Italy,unemployment rate,total,"no educational degree, primary and lower secondary school certificate",total,2020,13.063074
5389,Italy,unemployment rate,total,"no educational degree, primary and lower secondary school certificate",total,2021,13.355779
5390,Italy,unemployment rate,total,"no educational degree, primary and lower secondary school certificate",total,2022,11.632659
5624,Italy,unemployment rate,total,"tertiary (university, doctoral and specialization courses)",total,2018,6.052866
5629,Italy,unemployment rate,total,"tertiary (university, doctoral and specialization courses)",total,2019,5.845214
5634,Italy,unemployment rate,total,"tertiary (university, doctoral and specialization courses)",total,2020,5.556789
5639,Italy,unemployment rate,total,"tertiary (university, doctoral and specialization courses)",total,2021,5.183004
5640,Italy,unemployment rate,total,"tertiary (university, doctoral and specialization courses)",total,2022,4.165883
6574,Italy,unemployment rate,males,"tertiary (university, doctoral and specialization courses)",total,2018,4.799417
6579,Italy,unemployment rate,males,"tertiary (university, doctoral and specialization courses)",total,2019,4.869024
6584,Italy,unemployment rate,males,"tertiary (university, doctoral and specialization courses)",total,2020,4.52596
6589,Italy,unemployment rate,males,"tertiary (university, doctoral and specialization courses)",total,2021,4.466999
6590,Italy,unemployment rate,males,"tertiary (university, doctoral and specialization courses)",total,2022,3.356625
6674,Italy,unemployment rate,males,"no educational degree, primary and lower secondary school certificate",total,2018,13.450739
6679,Italy,unemployment rate,males,"no educational degree, primary and lower secondary school certificate",total,2019,12.642375
6684,Italy,unemployment rate,males,"no educational degree, primary and lower secondary school certificate",total,2020,12.146908
6689,Italy,unemployment rate,males,"no educational degree, primary and lower secondary school certificate",total,2021,12.213327
6690,Italy,unemployment rate,males,"no educational degree, primary and lower secondary school certificate",total,2022,10.356637
6874,Italy,unemployment rate,total,"no educational degree, primary and lower secondary school certificate",total,2018,14.369755
6879,Italy,unemployment rate,total,"no educational degree, primary and lower secondary school certificate",total,2019,13.629639
6884,Italy,unemployment rate,total,"no educational degree, primary and lower secondary school certificate",total,2020,12.988626
6889,Italy,unemployment rate,total,"no educational degree, primary and lower secondary school certificate",total,2021,13.247329
6890,Italy,unemployment rate,total,"no educational degree, primary and lower secondary school certificate",total,2022,11.547717
6899,Italy,unemployment rate,females,"no educational degree, primary and lower secondary school certificate",total,2018,17.216493
6904,Italy,unemployment rate,females,"no educational degree, primary and lower secondary school certificate",total,2019,16.427276
6909,Italy,unemployment rate,females,"no educational degree, primary and lower secondary school certificate",total,2020,15.452911
6914,Italy,unemployment rate,females,"no educational degree, primary and lower secondary school certificate",total,2021,16.211906
6915,Italy,unemployment rate,females,"no educational degree, primary and lower secondary school certificate",total,2022,14.733269
7524,Italy,unemployment rate,total,"tertiary (university, doctoral and specialization courses)",total,2018,6.054661
7529,Italy,unemployment rate,total,"tertiary (university, doctoral and specialization courses)",total,2019,5.845214
7534,Italy,unemployment rate,total,"tertiary (university, doctoral and specialization courses)",total,2020,5.556712
7539,Italy,unemployment rate,total,"tertiary (university, doctoral and specialization courses)",total,2021,5.183004
7540,Italy,unemployment rate,total,"tertiary (university, doctoral and specialization courses)",total,2022,4.165869
7649,Italy,unemployment rate,total,"no educational degree, primary and lower secondary school certificate",total,2018,14.85644
7654,Italy,unemployment rate,total,"no educational degree, primary and lower secondary school certificate",total,2019,14.065808
7659,Italy,unemployment rate,total,"no educational degree, primary and lower secondary school certificate",total,2020,13.378508
7664,Italy,unemployment rate,total,"no educational degree, primary and lower secondary school certificate",total,2021,13.680078
7665,Italy,unemployment rate,total,"no educational degree, primary and lower secondary school certificate",total,2022,11.912637
7974,Italy,unemployment rate,males,"no educational degree, primary and lower secondary school certificate",total,2018,12.972856
7979,Italy,unemployment rate,males,"no educational degree, primary and lower secondary school certificate",total,2019,12.229245
7984,Italy,unemployment rate,males,"no educational degree, primary and lower secondary school certificate",total,2020,11.720158
7989,Italy,unemployment rate,males,"no educational degree, primary and lower secondary school certificate",total,2021,11.790928
7990,Italy,unemployment rate,males,"no educational degree, primary and lower secondary school certificate",total,2022,10.059272
8249,Italy,unemployment rate,females,upper and post secondary,total,2018,11.731988
8254,Italy,unemployment rate,females,upper and post secondary,total,2019,11.12186
8259,Italy,unemployment rate,females,upper and post secondary,total,2020,10.53365
8264,Italy,unemployment rate,females,upper and post secondary,total,2021,11.15379
8265,Italy,unemployment rate,females,upper and post secondary,total,2022,9.763827
8474,Italy,unemployment rate,males,"tertiary (university, doctoral and specialization courses)",total,2018,4.799417
8479,Italy,unemployment rate,males,"tertiary (university, doctoral and specialization courses)",total,2019,4.869024
8484,Italy,unemployment rate,males,"tertiary (university, doctoral and specialization courses)",total,2020,4.52596
8489,Italy,unemployment rate,males,"tertiary (university, doctoral and specialization courses)",total,2021,4.466999
8490,Italy,unemployment rate,males,"tertiary (university, doctoral and specialization courses)",total,2022,3.356651
9073,Italy,unemployment rate,males,"no educational degree, primary and lower secondary school certificate",total,2018,13.16788
9078,Italy,unemployment rate,males,"no educational degree, primary and lower secondary school certificate",total,2019,12.404263
9083,Italy,unemployment rate,males,"no educational degree, primary and lower secondary school certificate",total,2020,11.894544
9088,Italy,unemployment rate,males,"no educational degree, primary and lower secondary school certificate",total,2021,11.956242
9089,Italy,unemployment rate,males,"no educational degree, primary and lower secondary school certificate",total,2022,10.115952
9173,Italy,unemployment rate,females,upper and post secondary,total,2018,11.370434
9178,Italy,unemployment rate,females,upper and post secondary,total,2019,10.765299
9183,Italy,unemployment rate,females,upper and post secondary,total,2020,10.217538
9188,Italy,unemployment rate,females,upper and post secondary,total,2021,10.850002
9189,Italy,unemployment rate,females,upper and post secondary,total,2022,9.477589
9798,Italy,unemployment rate,males,total,total,2018,9.601647
9803,Italy,unemployment rate,males,total,total,2019,8.959016
9808,Italy,unemployment rate,males,total,total,2020,8.460973
9813,Italy,unemployment rate,males,total,total,2021,8.538449
9814,Italy,unemployment rate,males,total,total,2022,7.028067
10423,Italy,unemployment rate,males,upper and post secondary,total,2018,9.015067
10428,Italy,unemployment rate,males,upper and post secondary,total,2019,8.266676
10433,Italy,unemployment rate,males,upper and post secondary,total,2020,7.74593
10438,Italy,unemployment rate,males,upper and post secondary,total,2021,7.935568
10439,Italy,unemployment rate,males,upper and post secondary,total,2022,6.405875
11297,Italy,unemployment rate,total,upper and post secondary,total,2018,9.848293
11302,Italy,unemployment rate,total,upper and post secondary,total,2019,9.159525
11307,Italy,unemployment rate,total,upper and post secondary,total,2020,8.628299
11312,Italy,unemployment rate,total,upper and post secondary,total,2021,8.97569
11313,Italy,unemployment rate,total,upper and post secondary,total,2022,7.562821
11472,Italy,unemployment rate,females,total,total,2018,11.557592
11477,Italy,unemployment rate,females,total,total,2019,10.920924
11482,Italy,unemployment rate,females,total,total,2020,10.315684
11487,Italy,unemployment rate,females,total,total,2021,10.54235
11488,Italy,unemployment rate,females,total,total,2022,9.212374
